Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Lucas Akins,"WB/M/AM (R), ST (C)",35,ENG,"5'11""",80 kg,Fairly Loyal,Mansfield,£3K - £9K,6.9,2,1,100%,3.46,57%,1.98,0.49,-,22.25,87%,0.49,1,0,3,-,0.99,100%,12,4,0,0.49,0,2,11.87,7.91,67%,0,0.49,3,13.7km,0,0,1,0 (6),182,7,0,1,30.33,4,24,0,27.8km,1,16,1,1,52,45,2,2,30/6/2024,"£2,500 p/w",Right,0,-,0.07,6.43,0.49,18.3,5.93,1.98,0.49,0.22,0,-,-,29%,0.49,-,-,1,-,-,-,-,-,0.24,-,0.49,Sky Bet League One,Physical,Well-travelled striker,Level-headed,0,-,0,1.48,0,0,3.96,0,0%,1.48,0,25.71,0,1.98,0.24,-,,- - -
George Williams,D/WB (R),31,ENG,"5'9""",70 kg,Fairly Professional,Mansfield,£4K - £40K,7.38,1,0,-,1.02,20%,0.2,0.31,0.41,38.05,87%,1.84,26,1,25,12%,3.68,95%,37,13,1,2.05,6,5,8.18,7.16,88%,0,0.41,0,12.5km,0,0,0,5 (1),440,5,2,0,73.33,1,40,3,61.3km,2,35,10,9,213,186,19,18,30/6/2024,"£2,500 p/w",Right,0.41,1.43,0.06,15.55,18.2,11.66,7.57,2.66,5.32,0.14,7,-,-,20%,1.64,-,-,8,-,-,-,-,-,0.06,-,0.31,Sky Bet League One,Leader,Full-back,Reserved,0,0.2,1.23,5.11,0.61,0,1.02,0.2,12%,5.11,0.61,43.57,1.02,0.41,0.06,-,,- - -
Ollie Scarles,"D (LC), WB (L), DM, M/AM (L)",18,ENG,"6'2""",77 kg,Fairly Determined,West Ham,£4.8M - £7.2M,6.5,0,0,-,-,0%,-,0.04,-,-,93%,-,4,0,2,-,-,-,4,3,0,-,1,1,-,-,0%,0,-,0,-,1,0,0,1,67,1,0,0,67,0,1,1,8.9km,0,0,0,1,54,50,0,-,30/6/2027,"£7,250 p/w",Left,-,-,0.04,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.04,English Premier Division,Leader,Attacking full back,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
James McConnell,"DM, M (RC)",20,ENG,"6'2""",79 kg,Balanced,Liverpool,£110K - £1.1M,6.9,0,0,-,-,-,-,0,-,-,90%,-,0,0,0,-,-,100%,5,1,0,-,0,0,-,-,50%,0,-,1,-,0,0,0,0 (1),33,0,0,0,33,-,2,0,5.4km,0,1,0,0,20,18,3,3,30/6/2027,"£2,500 p/w",Right Only,-,-,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,English Premier Division,Technical,Midfielder,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
Dillon Phillips,GK,29,ENG,"6'2""",86 kg,Fairly Determined,Rotherham,£10K - £110K,6.7,0,0,-,-,-,-,0,-,14.67,49%,-,0,0,-,-,0.33,50%,0,0,0,-,-,0,-,-,-,0,-,3,5.9km,0,0,0,3,270,0,0,0,90,-,-,-,17.8km,0,-,0,0,90,44,2,1,30/6/2024,"£5,000 p/w",Right Only,0,-,0,0,5.33,7.33,0,0,0,0,-,1.46,92%,-,0,2,0.49,0,81%,1,6,1,0.33,0,50%,0,Sky Bet League One,Shot Stopper,Nomadic goalkeeper,Level-headed,-,-,8.33,-,-,-,-,0,-,-,-,30,-,-,0,3,Inj,- - -
Álvaro Tejero,D/WB (RL),28,ESP,"5'8""",65 kg,Balanced,Espanyol,£1.5M - £3.2M,6.82,0,0,-,0.5,0%,0,0.97,0.08,41.42,88%,0.75,73,1,33,17%,2.33,68%,91,29,0,1.92,19,20,5,2.83,57%,0,0.83,7,11.7km,4,0,2,12,"1,080",6,1,0,90,0,60,6,140.0km,10,34,23,9,568,497,41,28,30/6/2024,"£6,750 p/w",Right,0.83,0.42,0.16,14.67,9.58,18.17,7.58,2.42,6.08,0.14,5,-,-,-,0.75,-,-,9,-,-,-,-,-,0.08,-,0.97,Spanish First Division,Technical,Full-back,Media-friendly,0,0.08,1.58,2.75,0.5,0,2.17,0,18%,2.33,0.42,47.33,0.67,0.08,0.08,-,,- - -
Pedro Santos,"M (C), AM (RLC)",21,POR,"5'10""",66 kg,Fairly Professional,Moreirense,£140K - £1.4M,6.73,0,0,-,0.98,33%,0.33,0.77,0.33,39.6,90%,1.64,14,1,2,100%,0.98,50%,32,9,0,0.65,2,3,2.62,0.33,13%,0,1.64,2,13.2km,0,0,0,3 (2),275,3,1,0,55,1,8,2,40.2km,5,1,2,5,134,121,6,3,30/6/2027,"£3,000 p/w",Left,0,-,0.26,8.51,9.49,17.02,10.47,2.95,4.58,0.16,0,-,-,-,1.64,-,-,5,-,-,-,-,-,0.25,-,0.77,Portuguese Premier League,Technical,Attacking midfielder,Level-headed,0,0.33,0.65,0.65,0.65,0,2.29,0,100%,0.65,0.65,43.85,0,0,0.25,-,,- - -
Will Lankshear,ST (C),19,ENG,"5'10""",71 kg,Fairly Determined,Tottenham,£6.2M - £7.8M,6.5,0,0,-,-,-,-,0,-,-,80%,-,0,0,0,-,-,100%,1,0,0,-,0,1,-,-,-,0,-,0,-,0,0,0,0 (1),33,0,0,0,33,-,0,0,4.7km,0,-,0,0,5,4,1,1,30/6/2028,"£3,500 p/w",Right Only,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,English Premier Division,Intelligent,Striker,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Rory Wilson,ST (C),18,SCO,"5'9""",68 kg,Balanced,Aston Villa,£5.4M - £6.4M,6.8,0,0,-,-,-,-,0,-,-,80%,-,1,0,0,-,-,-,4,0,0,-,1,0,-,-,33%,0,-,1,-,0,0,0,1,53,0,0,0,53,-,6,0,8.0km,1,2,1,1,15,12,0,-,30/6/2025,"£6,000 p/w",Right Only,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,English Premier Division,Physical,Young striker,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Josh Stokes,"AM (RLC), ST (C)",20,ENG,"5'10""",74 kg,Balanced,Cambridge,£250K - £2.6M,6.4,0,0,-,-,0%,-,0.07,-,-,83%,-,0,0,0,-,-,-,1,0,0,-,0,0,-,-,50%,0,-,0,-,0,0,0,0 (1),19,1,0,0,19,0,2,0,1.8km,0,1,0,0,6,5,0,-,30/6/2024,"£2,500 p/w",Right,-,-,0.07,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.07,Sky Bet League One,Intelligent,Young attacking midfielder,Outspoken,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
Cole Campbell,"M (RL), AM (RLC), ST (C)",18,ISL,"5'3""",51 kg,Balanced,Borussia Dortmund II,£24K - £230K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£3,400 p/w",Left Only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3. Liga,Creative,Diminutive winger,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Nathaniel Phillips,D (C),27,ENG,"6'3""",76 kg,Fairly Professional,Derby,£65K - £650K,6.95,0,0,-,0.16,0%,0,0.1,-,54.21,93%,0.24,38,0,1,-,1.12,74%,37,11,5,1.36,15,11,8.05,5.42,67%,0,0.16,0,11.5km,3,0,0,14,"1,129",2,0,0,80.64,0,101,0,144.6km,2,68,17,3,733,680,19,14,30/6/2024,"£25,000 p/w",Right Only,1.12,0.48,0.05,5.5,15.15,2.95,2.95,0.88,3.03,0.01,6,-,-,-,0.24,-,-,3,-,-,-,-,-,0.01,-,0.1,Sky Bet Championship,Physical,Centre-back,Reserved,0,-,1.2,0.08,0,0,2.63,0.4,0%,0.08,0,58.43,0.56,0.08,0.01,-,,- - -
Damián Musto,"DM, M (C)",37,ARG,"6'0""",80 kg,Resolute,Cartagena,£35K - £100K,6.86,0,0,-,0.11,0%,0,0.03,0.11,47.16,92%,1.14,40,0,2,50%,1.93,100%,84,15,2,1.93,12,18,4.77,1.82,38%,0,0.23,6,12.8km,5,0,1,10 (1),792,1,1,0,72,0,42,1,112.4km,2,16,17,10,449,415,17,17,30/6/2024,"£6,500 p/w",Right,0.45,0.68,0.03,10.68,15.23,6.02,9.55,1.7,4.55,0.09,6,-,-,-,1.14,-,-,10,-,-,-,-,-,0,-,0.03,Spanish Second Division,Leader,Veteran midfielder,Outspoken,0,-,1.36,0.23,0.11,0,2.95,0.23,50%,0.23,0.11,51.02,0.23,0.11,0,-,,- - -
Lucas Woudenberg,"D (LC), WB (L)",30,NED,"6'1""",70 kg,Balanced,VAFC,£14K - £150K,7.06,0,0,-,0.11,0%,0,0.1,0.11,42,88%,1.89,55,2,19,21%,3.33,79%,87,22,1,1.67,12,10,5.44,2.78,51%,0,1.11,2,12.9km,1,0,0,9,810,1,1,0,90,0,49,4,116.5km,10,25,15,17,432,378,38,30,30/6/2024,"£2,600 p/w",Left,0.33,1,0.1,18.56,12.56,12.89,9.67,2.44,6.11,0.06,9,-,-,-,1.89,-,-,17,-,-,-,-,-,0.01,-,0.1,French National,Physical,Full-back,Media-friendly,0,0.22,1.33,2.11,0.44,0,2.67,0.11,21%,2.11,0.44,48,0.89,0.11,0.01,-,Inj,- - -
Brahim Traoré,D (C),20,FRA,"6'3""",80 kg,Balanced,SM Caen,£1.3M - £2.7M,6.6,0,0,-,0.56,0%,0,0.09,-,48.07,96%,-,8,0,0,-,3.35,100%,13,6,0,1.68,0,2,5.59,3.35,60%,0,0.56,0,10.0km,0,0,0,1 (6),161,1,0,0,23,0,10,0,17.8km,1,6,3,0,90,86,6,6,30/6/2025,"£3,100 p/w",Right,0.56,-,0.09,7.83,16.21,3.91,7.27,3.35,4.47,0,0,-,-,-,0,-,-,0,-,-,-,-,-,0.05,-,0.09,Ligue 2 BKT,Physical,Centre-back,Level-headed,0,-,0,0,0,0,2.24,0,-,0,0,50.31,0,0,0.05,-,Wnt,- - -
Luca Valzania,"DM, M/AM (C)",28,ITA,"6'0""",72 kg,Spirited,Pescara,£35K - £325K,6.83,0,0,-,0.79,0%,0,0.87,-,46.59,91%,0.88,53,3,4,-,1.94,71%,106,34,1,1.24,9,26,3.71,1.76,48%,0,0.26,9,12.7km,4,0,1,11,"1,020",9,0,0,92.73,0,42,0,143.9km,3,20,14,10,581,528,31,22,30/6/2024,"£4,900 p/w",Right,0.18,0.18,0.1,11.56,12.35,6.35,9.35,3,4.68,0.28,2,-,-,-,0.88,-,-,10,-,-,-,-,-,0.08,-,0.87,Italian Serie C/B,Physical,Midfielder,"Evasive, Unflappable",0,0.26,0.79,0.35,0,0,1.94,0.09,0%,0.35,0,51.26,0.09,0.18,0.08,-,,- - -
Timothée Kolodziejczak,"D (LC), WB (L)",33,FRA,"6'1""",75 kg,Balanced,Paris FC,£22K - £230K,6.88,0,0,-,0.17,0%,0,0.41,-,54.43,87%,0.43,42,0,3,-,1.45,85%,37,17,5,1.54,19,7,7.59,5.46,72%,0,0.09,3,11.4km,2,0,0,13,"1,055",2,0,0,81.15,0,89,0,133.7km,1,64,18,5,736,638,20,17,30/6/2024,"£2,900 p/w",Left Only,0.51,0.6,0.2,5.89,16.21,3.24,3.16,1.45,3.58,0.06,7,-,-,-,0.43,-,-,5,-,-,-,-,-,0.03,-,0.41,Ligue 2 BKT,Leader,Experienced centre-back,Media-friendly,0,-,1.62,0.26,0,0,2.13,0.43,0%,0.26,0,62.79,0.77,0,0.03,-,,- - -
Lucas Cunha,D (C),27,BRA,"6'1""",80 kg,Balanced,BRA,£425K - £4.3M,6.92,0,0,-,0.34,0%,0,0.83,0.09,57.39,91%,0.13,76,2,0,-,0.81,61%,74,23,2,1.37,25,20,7.1,4.58,64%,0,0.17,8,10.7km,6,0,2,24,"2,103",8,2,0,87.62,0,166,0,249.2km,4,107,32,3,"1,473","1,341",31,19,31/12/2025,"£6,750 p/w",Right,1.41,0.51,0.1,4.32,15.49,3.34,3.17,0.98,3.25,0.07,12,-,-,-,0.13,-,-,3,-,-,-,-,-,0.04,-,0.83,Brazilian National First Division,Leader,Centre-back,Level-headed,0,0.09,1.07,0,0,0,2.52,0.09,-,0,0,63.04,1.24,0.09,0.04,-,Inj,- - -
Jay Matete,"DM, M (C)",23,COD,"5'8""",71 kg,Balanced,Bolton,£140K - £1.4M,6.85,0,0,-,0.81,33%,0.27,0.29,-,48.23,95%,0.27,7,0,1,-,1.62,75%,35,8,0,1.08,2,7,2.69,0.27,10%,0,0.81,6,14.8km,0,0,0,4,334,3,0,0,83.5,1,10,0,54.9km,3,1,4,1,189,179,8,6,30/6/2024,"£3,500 p/w",Right,0,0.54,0.1,14.28,12.93,8.62,9.43,2.16,1.89,0.1,2,-,-,-,0.27,-,-,1,-,-,-,-,-,0.08,-,0.29,Sky Bet League One,Physical,Midfielder,Level-headed,0,-,0.54,0.27,0,0,2.43,0,0%,0.27,0,50.93,0,0,0.08,-,,- - -
Philippe Sandler,"D (C), DM",27,NED,"6'2""",76 kg,Balanced,N.E.C. Nijmegen,£190K - £1.9M,6.84,0,0,-,0.51,0%,0,0.84,0.1,46.65,90%,1.44,46,4,5,60%,2.37,77%,79,28,0,1.13,8,11,4.53,2.06,45%,0,0.21,4,12.0km,1,0,1,11,874,5,1,0,79.45,0,44,3,116.1km,2,20,11,14,506,453,30,23,30/6/2024,"£3,400 p/w",Right,0.51,0.41,0.17,10.09,11.12,5.66,8.14,2.88,4.74,0.17,4,-,-,-,1.44,-,-,14,-,-,-,-,-,0.09,-,0.84,Eredivisie,Technical,Centre-back,Level-headed,1,0.41,0.82,0.51,0.31,0,2.47,0,60%,0.51,0.31,52.11,0.41,0.31,0.09,-,,- - -
James Balagizi,"DM, M (C), AM (LC)",21,COD,"6'2""",78 kg,Balanced,Liverpool,£12K - £110K,6.8,0,0,-,-,0%,-,0.1,-,-,86%,-,0,0,0,-,-,-,2,0,0,-,0,0,-,-,100%,0,-,0,-,0,0,0,0 (1),16,1,0,0,16,0,1,0,2.6km,0,1,1,0,7,6,0,-,30/6/2024,"£3,000 p/w",Right,-,-,0.1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.1,English Premier Division,Technical,Attacking midfielder,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
Eric Smith,"D (C), DM, M (C)",27,SWE,"6'4""",86 kg,Spirited,St. Pauli,£2.2M - £4.4M,6.75,0,0,-,0.36,0%,0,0.23,0.09,50.73,90%,1,40,3,7,14%,1.82,80%,60,19,3,1.73,11,8,8.09,5.09,63%,0,0.45,6,11.4km,2,0,1,11,990,4,1,0,90,0,89,1,125.8km,5,56,19,11,622,558,25,20,30/6/2025,"£9,750 p/w",Right,0.73,0.18,0.06,6.09,17.91,5.91,5.45,1.73,3.64,0.06,2,-,-,-,0.36,-,-,4,-,-,-,-,-,0.02,-,0.23,Bundesliga,Intelligent,Centre-back,"Evasive, Reserved",0,0.27,1,0.64,0.09,0,3,0.27,14%,0.64,0.09,56.55,0.45,0.18,0.02,-,,- - -
Ermin Bičakčić,D (C),34,BIH,"6'1""",85 kg,Driven,Braunschweig,£14K - £130K,6.94,0,0,-,0.27,0%,0,0.53,0.18,53,88%,0.71,45,2,3,-,1.6,86%,36,19,4,1.33,20,9,6.76,4.89,72%,0,-,4,10.9km,3,0,0,12,"1,012",3,2,0,84.33,0,76,0,122.1km,0,55,15,8,680,596,21,18,30/6/2024,"£6,250 p/w",Right,0.98,0.44,0.18,4.71,14.41,3.2,3.2,1.69,4,0.07,5,-,-,-,0.71,-,-,8,-,-,-,-,-,0.05,-,0.53,Bundesliga 2,Leader,Powerful centre-back,Evasive,0,0.18,1.78,0.27,0,0,1.87,0.36,0%,0.27,0,60.47,0.71,0,0.05,-,,- - -
Samuele Birindelli,D/WB (R),25,ITA,"5'9""",68 kg,Fairly Loyal,Brianza,£60K - £6M,6.72,0,0,-,0.72,0%,0,0.23,-,40.42,87%,0.54,28,0,14,14%,2.69,88%,52,15,1,2.34,4,7,4.85,2.16,44%,0,1.62,2,12.7km,1,0,2,6 (2),501,4,0,0,62.62,0,27,2,70.5km,9,12,13,3,259,225,17,15,30/6/2025,"£13,750 p/w",Right,0,0.54,0.06,15.99,10.24,12.57,9.34,2.69,5.03,0.12,3,-,-,-,0.54,-,-,3,-,-,-,-,-,0.04,-,0.23,Italian Serie A,Technical,Attacking full back,Level-headed,0,-,0.72,2.51,0.36,0,2.69,0.18,14%,2.51,0.36,46.53,0.36,0.18,0.04,-,Wnt,- - -
Lovis Bierschenk,M/AM (RL),19,GER,"5'9""",68 kg,Balanced,Mainz 05 II,£200K - £600K,7.1,2,0,-,3,67%,2,0.23,-,32,89%,1,1,1,5,20%,1,100%,10,1,0,2,0,1,8,2,25%,0,4,1,12.4km,0,0,0,1,90,3,0,0,90,2,8,1,12.4km,4,2,2,1,36,32,1,1,30/6/2026,"£3,200 p/w",Right,0,1,0.08,9,3,19,10,1,1,0.06,1,-,-,67%,1,-,-,1,-,-,-,-,-,0.23,-,0.23,German Regional Division Southwest,Technical,Young winger,Level-headed,0,1,0,5,1,0,6,0,20%,5,1,36,0,1,0.23,-,,- - -
Kingsley Ehizibue,D/WB/M (R),29,NGA,"6'2""",83 kg,Fairly Professional,Udinese,£1.3M - £2.7M,6.67,0,0,-,0.1,0%,0,0.04,-,27.4,80%,1.04,41,0,64,14%,2.6,76%,121,32,0,2.29,11,16,4.58,2.6,57%,0,3.54,13,12.3km,2,0,1,10,864,1,0,0,86.4,0,44,9,118.1km,34,25,22,10,330,263,33,25,30/6/2025,"£14,750 p/w",Right Only,0.52,0.21,0.04,15.73,7.92,16.35,12.6,3.33,4.27,0.01,2,-,-,-,1.04,-,-,10,-,-,-,-,-,0,-,0.04,Italian Serie A,Physical,Attacking full back,Level-headed,0,-,1.15,6.67,0.94,0,1.98,0,14%,6.67,0.94,34.38,0.1,0,0,-,,- - -
Lamare Bogarde,"D (LC), DM, M (C)",20,NED,"6'0""",76 kg,Balanced,Aston Villa,£6.4M - £9.6M,6.7,0,0,-,-,-,-,0,-,-,98%,-,8,0,0,-,-,100%,3,2,1,-,0,0,-,-,100%,0,-,0,-,0,0,0,0 (1),45,0,0,0,45,-,1,0,6.6km,0,1,1,0,41,40,1,1,30/6/2026,"£4,000 p/w",Right,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,English Premier Division,Technical,Defensive midfielder,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Mattia Valoti,"DM, M/AM (C)",31,ITA,"6'2""",73 kg,Fairly Professional,Brianza,£325K - £1M,6.7,0,0,-,0.58,0%,0,0.23,0.44,38.95,89%,0.88,24,2,7,25%,1.6,92%,79,15,0,1.31,7,9,4.08,1.31,32%,0,0.73,3,11.9km,0,0,2,4 (9),617,4,3,0,47.46,0,28,1,81.8km,5,9,9,6,299,267,12,11,30/6/2024,"£10,750 p/w",Right,0.29,0.58,0.06,9.48,9.19,16.05,11.52,2.19,3.5,0.2,4,-,-,-,0.88,-,-,6,-,-,-,-,-,0.03,-,0.23,Italian Serie A,Physical,Midfielder,Level-headed,0,0.29,1.02,1.02,0.15,0,2.77,0,14%,0.58,0.15,43.61,0,0.15,0.03,-,,- - -
Jaden Heskey,ST (C),18,ENG,"5'10""",70 kg,Balanced,Man City,£85K - £850K,6.8,1,0,-,-,100%,-,0.02,-,-,75%,-,0,0,0,-,-,100%,3,1,0,-,0,1,-,-,0%,0,-,0,-,0,0,0,0 (1),34,1,0,0,34,1,3,0,4.9km,0,0,0,0,8,6,1,1,30/6/2025,"£3,000 p/w",Right Only,-,-,0.02,-,-,-,-,-,-,-,0,-,-,100%,-,-,-,0,-,-,-,-,-,-,-,0.02,English Premier Division,Physical,Young striker,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Semuel Pizzignacco,GK,23,ITA,"6'1""",76 kg,Balanced,Brianza,£140K - £1.4M,6.35,0,0,-,-,-,-,0,-,17.61,64%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,0,5.7km,0,0,0,0 (2),92,0,0,0,46,-,-,-,5.8km,0,-,0,0,28,18,0,-,30/6/2024,"£4,300 p/w",Right Only,0,-,0,0,0.98,6.85,0,0,0,0,-,-0.19,96%,-,0,2,-0.19,0,80%,1,1,0.98,0.98,0,-,0,Italian Serie A,Shot Stopper,Goalkeeper,Media-friendly,-,-,5.87,-,-,-,-,0,-,-,-,27.39,-,-,0,3,,- - -
Lisandro López,D (C),35,ARG,"6'2""",80 kg,Perfectionist,Burgos,£22K - £210K,6.8,0,0,-,0.26,0%,0,0.38,0.09,49.1,91%,0.35,36,2,2,-,1.57,95%,42,11,4,2.09,13,16,7.67,5.41,70%,0,0.09,3,10.9km,3,1,0,12 (1),"1,032",3,1,0,79.38,0,88,0,125.3km,1,62,24,4,620,563,19,18,30/6/2024,"£8,500 p/w",Right Only,0.7,0.7,0.13,4.45,19.1,1.74,3.66,0.96,3.14,0.19,8,-,-,-,0.35,-,-,4,-,-,-,-,-,0.03,-,0.38,Spanish Second Division,Leader,Veteran centre-back,Media-friendly,0,0.17,1.13,0.17,0,0,2.27,0.35,0%,0.17,0,54.07,1.22,0,0.03,-,,- - -
Xavier Arreaga,"D (C), DM",30,ECU,"6'0""",75 kg,Balanced,New England,£22K - £230K,7.28,1,0,-,0.53,0%,0,0.33,0.26,14.93,70%,-,0,0,0,-,2.03,96%,0,0,0,-,0,15,-,-,-,0,-,9,0.0km,0,0,0,11 (1),"1,019",6,3,0,84.92,0,0,0,0.0km,0,-,0,0,240,169,24,23,31/12/2023,"£11,500 p/w",Right,0,-,0.06,0,0,0,0,0,0,0,0,-,-,17%,0,-,-,0,-,-,-,-,-,0.03,-,0.33,Major League Soccer,Physical,Centre-back,Media-friendly,0,-,0,0,0,0,-,0,-,0,0,21.2,0,0,0.03,-,Wnt,- - -
Deiver Machado,D/WB (L),31,COL,"5'11""",75 kg,Balanced,RC Lens,Not for Sale,7.11,0,0,-,0.3,0%,0,0.18,0.08,51.14,89%,1.28,95,3,26,15%,3.01,77%,119,44,6,3.39,17,8,3.09,1.66,54%,0,2.03,15,13.5km,1,0,0,14,"1,195",4,1,0,85.36,0,41,4,179.4km,27,22,45,17,762,679,52,40,30/6/2025,"£18,500 p/w",Left,0.15,0.68,0.04,17.47,13.03,13.1,8.96,3.31,7.15,0.13,9,-,-,-,1.28,-,-,17,-,-,-,-,-,0.01,-,0.18,Ligue 1 Uber Eats,Technical,Attacking full back,Level-headed,0,0.23,1.28,1.96,0.3,0,1.43,0.45,15%,1.96,0.3,57.39,0.75,0.23,0.01,-,,- - -
Gerard Valentín,D/WB/M/AM (R),31,ESP,"5'10""",75 kg,Balanced,Huesca,£110K - £1.1M,6.73,0,0,-,0.39,0%,0,0.4,0.1,28.28,85%,0.58,25,2,72,13%,2.33,89%,123,27,0,2.24,9,17,3.79,2.53,67%,0,3.01,10,13.4km,3,0,1,11,926,4,1,0,84.18,0,39,10,137.5km,31,26,23,6,344,291,27,24,30/6/2025,"£6,250 p/w",Right,0,0.78,0.1,16.04,7.58,13.32,11.95,2.62,2.43,0.11,8,-,-,-,0.58,-,-,6,-,-,-,-,-,0.04,-,0.4,Spanish Second Division,Physical,Winger,Level-headed,0,0.19,0.87,7,0.97,0,1.26,0,14%,7,0.97,33.43,0.39,0,0.04,-,,- - -
Diego González,D (C),29,ESP,"6'1""",83 kg,Balanced,Albacete,£750K - £1.6M,6.84,0,0,-,0.27,0%,0,0.22,-,55.73,89%,0.27,47,1,3,33%,1.07,94%,39,14,4,1.93,18,11,6.33,4.67,74%,0,0.07,5,11.7km,5,0,0,15,"1,350",4,0,0,90,0,95,1,175.0km,1,70,29,4,939,836,17,16,30/6/2024,"£4,900 p/w",Left,0.67,0.53,0.06,6.2,12.73,3.13,2.6,0.93,3.13,0.05,8,-,-,-,0.27,-,-,4,-,-,-,-,-,0.01,-,0.22,Spanish Second Division,Technical,Centre-back,Level-headed,0,0.07,1.2,0.2,0.07,0,1.67,0.27,33%,0.2,0.07,62.6,0.87,0.2,0.01,-,,- - -
Filippo Costa,D/WB/M (L),29,ITA,"5'9""",75 kg,Fairly Professional,Vicenza,£16K - £150K,7.07,0,0,-,0.2,0%,0,0.11,0.31,37.3,86%,2.34,55,2,30,5%,3.06,86%,95,26,2,2.45,14,12,3.98,1.53,38%,0,1.43,9,12.1km,2,1,1,10,883,2,3,0,88.3,0,39,2,118.7km,14,15,24,23,426,366,35,30,30/6/2024,"£10,750 p/w",Left Only,0,0.71,0.06,13.35,12.74,14.68,9.68,2.65,5.61,0.25,7,-,-,-,2.34,-,-,23,-,-,-,-,-,0.01,-,0.11,Italian Serie C/A,Technical,Full-back,Reserved,0,0.2,1.43,3.06,0.2,0,2.45,0.2,7%,2.04,0.1,43.42,0.31,0.1,0.01,-,,- - -
Jayden Oosterwolde,D (LC),23,NED,"6'2""",74 kg,Perfectionist,Fenerbahçe,£8.2M - £9.8M,7.15,0,0,-,0.89,0%,0,0.38,0.15,30.84,85%,0.15,9,0,0,-,1.92,100%,7,3,1,0.89,2,6,3.1,1.92,62%,0,-,13,4.9km,1,0,1,6 (2),610,6,1,0,76.25,0,21,0,33.3km,0,13,6,1,245,209,13,13,30/6/2026,"£16,500 p/w",Left,0.59,0.15,0.06,2.66,4.28,1.62,1.03,0.44,1.33,0,1,-,-,-,0.15,-,-,1,-,-,-,-,-,0.06,-,0.38,Turkish Super League,Physical,Strong full-back,"Evasive, Reserved",0,-,0.3,0,0,0,1.18,0.15,-,0,0,36.15,0,0.15,0.06,-,,- - -
